platform,brand,legalEntity,comuna,project,pepCode,amount
Google Ads,Almagro Inmobiliaria,Almagro S.A,Macul,Insigne,I-ALM-2157,2704432
Google Ads,Socovesa,Inmobiliaria El Descubridor,Maipú,Pajaritos,I-STG-2204,2562054
Google Ads,Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Lampa,Los Coihues,I-STG-2325,2529004
Google Ads,Socovesa,Sociedad Comercializadora Metropolitana,Macul,Coipue,I-STG-2229,2523671
Meta,Pilares,Pilares S.A,AON,Guillermo Mann,I-SVS-2250,2453415
Google Ads,Socovesa,Pilares S.A,Ñuñoa,Marathon,I-SVS-2349,2039929
Meta,Socovesa,Socovesa Sur S.A,Puerto Montt,Terraza Mirador,I-SUR-2333,1741342
Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Parque Brasil,I-ALM-2285,1731857
Meta,Socovesa,Pilares S.A,Ñuñoa,Marathon,I-SVS-2349,1689596
Meta,Almagro Inmobiliaria,Almagro S.A,Macul,Insigne,I-ALM-2157,1689112
Meta,Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Lampa,Las Pataguas,I-STG-2366,1645144
Meta,Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Lampa,Los Coihues,I-STG-2325,1638491
Google Ads,Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Lampa,Las Pataguas,I-STG-2366,1636748
Meta,Socovesa,Sociedad Comercializadora Metropolitana,Macul,Coipue,I-STG-2229,1634939
Google Ads,Almagro Inmobiliaria,Almagro S.A,Ñuñoa,Almagro Plus,I-ALM-2234,1622496
Google Ads,Pilares,ICSA,Independencia,Santos Dumont,I-SVS-2246,1550794
Google Ads,Pilares,ICSA,Estación Central,Conde del Maule,I-SVS-2255,1546262
Google Ads,Almagro Inmobiliaria,Madagascar,Las Condes,Almagro District,I-ALM-2399,1402392
Meta,Socovesa,Inmobiliaria El Descubridor,Maipú,Pajaritos,I-STG-2204,1395523
Meta,Almagro Inmobiliaria,Almagro S.A,Santiago,Insigne,I-ALM-2157,1390251
Google Ads,Pilares,ICSA,Santiago Centro,Edificio Ñuble,I-SVS-2173,1386029
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Providencia,Almagro Hub,I-ALM-2189,1378515
Meta,Almagro Inmobiliaria,Madagascar,Las Condes,Almagro District,I-ALM-2399,1341913
