platform,legalEntity,amount
Google Ads,Almagro S.A,19811073
Meta,Almagro S.A,17431577
Google Ads,Pilares S.A,7353238
Google Ads,Socovesa Sur S.A,7131512
Meta,Socovesa Sur S.A,7050533
Meta,Pilares S.A,6839012
Google Ads,ICSA,6385906
Meta,Arcilla Roja,6263608
Google Ads,Arcilla Roja,6244861
Google Ads,INMOBILIARIA ENCINAS DE PEÑALOLEN,4705490
Meta,ICSA,4587831
Meta,INMOBILIARIA ENCINAS DE PEÑALOLEN,4334477
Google Ads,Inmobiliaria El Descubridor,2831923
Google Ads,Sociedad Comercializadora Metropolitana,2793541
Meta,Sociedad Comercializadora Metropolitana,2160360
Meta,Inmobiliaria El Descubridor,1920943
Google Ads,Madagascar,1771141
Meta,Madagascar,1642892
Google Ads,INSOCO,903939
Meta,Consorcio Inmobiliario Macul,525421
Google Ads,Consorcio Inmobiliario Macul,269869
