month,payment_reference,meta_amount,cartola_amount,source_file
,3A3UPER6E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,3FG4PEV5E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,3XZ3PFH6E2,,857450,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,468PNER6E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,4KMUXE96E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,4UK9ZE56E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,5R56FEV6E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,5S8GPEV5E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,76VKYE96E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,82CSFFM6E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,8PQTMEV5E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,8UZ4MFD6E2,,861045,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,95ACPER6E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,99SPSFH6E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,AT2HTFD6E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,AXFHYES6E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,B5B7ZE96E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,BXDUYE96E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,BYMKPEV5E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,C8UD6GZ5E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,CM2BYE56E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,CVXN6GZ5E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,DGZGEEV6E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,EYL9PER6E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,F7KA4F56E2,,600000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,G7ERGFM6E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,GT2WXE96E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,GXLYXE56E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,HQP5PER6E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,JTM9PEV5E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,JVGCPEV5E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,K6E58GZ5E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,L68T7GZ5E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
,L6GTEEV6E2,,10000,Facturas Meta/Cartola TC/estado de cuenta TC visa MKT Marzo 2026 internacional 1.pdf
