status,cartolaDate,statementReference,paymentReference,alreadyInExistingDataset,cartolaAmount,metaReferenceTotal,difference,brand,invoiceDate,transactionId,campaignName,campaignAmount,allocatedCartolaToCampaign,legalEntity,comuna,project,pepCode,allocatedProjectAmount,mappingBrand,validation
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_AOL_Santiago_AlmagroPlus,9318,9318,Almagro S.A,Almagro Plus,Almagro Plus,I-ALM-2234,9318,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_AOL_Antofagasta_AlmagroTerra,18933,18933,Almagro S.A,Antofagasta,Almagro Terra,I-ALM-2360,18933,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_AOT_Antofagasta_AlmagroTerra,42305,42305,Almagro S.A,Antofagasta,Almagro Terra,I-ALM-2360,42305,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_AOL_Antofagasta_Indico,5442,5442,Almagro S.A,Antofagasta,Indico,I-ALM-1453,5442,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_AOL_Antofagasta_ParqueBrasil,9675,9675,Almagro S.A,Antofagasta,Parque Brasil,I-ALM-2285,9675,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_AOT_Antofagasta_ParqueBrasil,26740,26740,Almagro S.A,Antofagasta,Parque Brasil,I-ALM-2285,26740,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_Almagro_Patrocinado_Blog,3282,3282,Madagascar,Blog,Almagro District,I-ALM-2399,235,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_Almagro_Patrocinado_Blog,3282,3282,Arcilla Roja,Blog,Almagro Hub,I-ALM-2189,235,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_Almagro_Patrocinado_Blog,3282,3282,Almagro S.A,Blog,Almagro Plus,I-ALM-2234,235,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_Almagro_Patrocinado_Blog,3282,3282,Almagro S.A,Blog,Balance,I-ALM-2358,235,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_Almagro_Patrocinado_Blog,3282,3282,Almagro S.A,Blog,Carrera 4,I-ALM-2275,235,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_Almagro_Patrocinado_Blog,3282,3282,Almagro S.A,Blog,Indico,I-ALM-1453,235,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_Almagro_Patrocinado_Blog,3282,3282,Almagro S.A,Blog,Insigne,I-ALM-2157,234,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_Almagro_Patrocinado_Blog,3282,3282,Almagro S.A,Blog,Los Cactus,I-ALM-2342,234,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_Almagro_Patrocinado_Blog,3282,3282,Almagro S.A,Blog,Lyon Bilbao,I-ALM-2211,234,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_Almagro_Patrocinado_Blog,3282,3282,Arcilla Roja,Blog,PLP 1,I-ALM-2226,234,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_Almagro_Patrocinado_Blog,3282,3282,Arcilla Roja,Blog,PLP 2,I-ALM-2306,234,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_Almagro_Patrocinado_Blog,3282,3282,Almagro S.A,Blog,Parque Brasil,I-ALM-2285,234,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_Almagro_Patrocinado_Blog,3282,3282,Arcilla Roja,Blog,Rengo,I-ALM-2288,234,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_Almagro_Patrocinado_Blog,3282,3282,Almagro S.A,Blog,San Eugenio 2,I-ALM-2227,234,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_AOL_Santiago_LosCactus,6552,6552,Almagro S.A,Lo Barnechea,Los Cactus,I-ALM-2342,6552,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_AOL_Santiago_Insigne,8449,8449,Almagro S.A,Macul,Insigne,I-ALM-2157,8449,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_AOT_Santiago_Insigne,23628,23628,Almagro S.A,Macul,Insigne,I-ALM-2157,23628,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_Almagro_Awareness,80052,80052,Madagascar,Marca,Almagro District,I-ALM-2399,5718,Almagro,OK
MATCH,2026-04-08,0904 74987506098000353415210,U5FV3L56E2,yes,600000,600000,0,Almagro Inmobiliaria,2026-04-30,26566300523055307-26255391604146204,FB_Almagro_Awareness,80052,80052,Arcilla Roja,Marca,Almagro Hub,I-ALM-2189,5718,Almagro,OK
