brand,legalEntity,comuna,project,pepCode,allocatedProjectAmount,matchedReferences
Almagro Inmobiliaria,Almagro S.A,Antofagasta,Almagro Terra,I-ALM-2360,2294457,37
Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Lampa,Los Coihues,I-STG-2325,1795116,28
Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Lampa,Las Pataguas,I-STG-2366,1793270,28
Socovesa,Inmobiliaria El Descubridor,Maipú,Pajaritos,I-STG-2204,1766992,28
Socovesa,Pilares S.A,Ñuñoa,Marathon,I-SVS-2349,1682213,28
Socovesa,Socovesa Sur S.A,Puerto Montt,Terraza Mirador,I-SUR-2333,1341035,28
Almagro Inmobiliaria,Almagro S.A,Antofagasta,Parque Brasil,I-ALM-2285,1321060,36
Almagro Inmobiliaria,Almagro S.A,Macul,Insigne,I-ALM-2157,1312698,36
Almagro Inmobiliaria,Arcilla Roja,Providencia,Rengo,I-ALM-2288,1307669,36
Almagro Inmobiliaria,Almagro S.A,Providencia,Balance,I-ALM-2358,1307475,37
Pilares,ICSA,Independencia,Santos Dumont,I-SVS-2246,1091238,16
Pilares,ICSA,Estación Central,Conde del Maule,I-SVS-2255,1081349,16
Almagro Inmobiliaria,Almagro S.A,Ñuñoa,Almagro Plus,I-ALM-2234,1021775,37
Almagro Inmobiliaria,Arcilla Roja,AON,Almagro Hub,I-ALM-2189,911820,37
Almagro Inmobiliaria,Almagro S.A,AON,Carrera 4,I-ALM-2275,911812,37
Almagro Inmobiliaria,Almagro S.A,AON,Indico,I-ALM-1453,911811,37
Almagro Inmobiliaria,Almagro S.A,AON,Los Cactus,I-ALM-2342,911808,37
Almagro Inmobiliaria,Almagro S.A,AON,Lyon Bilbao,I-ALM-2211,911799,37
Almagro Inmobiliaria,Arcilla Roja,AON,PLP 1,I-ALM-2226,911795,37
Almagro Inmobiliaria,Arcilla Roja,AON,PLP 2,I-ALM-2306,911794,37
Almagro Inmobiliaria,Almagro S.A,AON,San Eugenio 2,I-ALM-2227,911790,37
Pilares,Arcilla Roja,Santiago Centro,Franklin,I-ALM-2212,705614,16
Pilares,Pilares S.A,AON,Edificio Ñuble,I-SVS-2173,698770,16
Pilares,Pilares S.A,AON,Guillermo Mann,I-SVS-2250,698767,16
Pilares,ICSA,AON,Lo Ovalle,I-SVS-2296,698765,16
Pilares,Pilares S.A,AON,Rodriguez Velasco,I-SVS-2289,698762,16
Pilares,Pilares S.A,AON,Vicuña Mackenna 7244,I-SVS-2131,698757,16
Socovesa,Sociedad Comercializadora Metropolitana,AON,Coipue,I-STG-2229,447447,28
Socovesa,Consorcio Inmobiliario Macul,AON,Las Palmas,I-STG-2205,447431,28
Socovesa,Socovesa Sur S.A,Valdivia,García Reyes,I-SUR-2283,438238,28
Socovesa,Socovesa Sur S.A,Puerto Montt,Portal Austral,I-SUR-2340,433595,28
Socovesa,Socovesa Sur S.A,Chillán,PDL,I-SUR-2372,431707,28
Socovesa,Sociedad Comercializadora Metropolitana,Marca,Coipue,I-STG-2229,417805,28
Socovesa,Consorcio Inmobiliario Macul,Marca,Las Palmas,I-STG-2205,417801,28
Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Marca,Las Pataguas,I-STG-2366,417798,28
Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Marca,Los Coihues,I-STG-2325,417795,28
Socovesa,Pilares S.A,Marca,Marathon,I-SVS-2349,417787,28
Socovesa,Inmobiliaria El Descubridor,Marca,Pajaritos,I-STG-2204,417783,28
Socovesa,Sociedad Comercializadora Metropolitana,Macul,Coipue,I-STG-2229,350709,28
Almagro Inmobiliaria,Almagro S.A,Almagro Plus,Almagro Plus,I-ALM-2234,290817,37
Almagro Inmobiliaria,Madagascar,Marca,Almagro District,I-ALM-2399,211526,37
Almagro Inmobiliaria,Arcilla Roja,Marca,Almagro Hub,I-ALM-2189,211525,37
Almagro Inmobiliaria,Almagro S.A,Marca,Almagro Plus,I-ALM-2234,211523,37
Almagro Inmobiliaria,Almagro S.A,Marca,Balance,I-ALM-2358,211521,37
Almagro Inmobiliaria,Almagro S.A,Marca,Carrera 4,I-ALM-2275,211518,37
Almagro Inmobiliaria,Almagro S.A,Marca,Indico,I-ALM-1453,211513,37
Almagro Inmobiliaria,Almagro S.A,Marca,Insigne,I-ALM-2157,211511,37
Almagro Inmobiliaria,Almagro S.A,Marca,Los Cactus,I-ALM-2342,211509,37
Almagro Inmobiliaria,Almagro S.A,Marca,Lyon Bilbao,I-ALM-2211,211506,37
Almagro Inmobiliaria,Arcilla Roja,Marca,PLP 1,I-ALM-2226,211505,37
Almagro Inmobiliaria,Arcilla Roja,Marca,PLP 2,I-ALM-2306,211504,37
Almagro Inmobiliaria,Almagro S.A,Marca,Parque Brasil,I-ALM-2285,211500,37
Almagro Inmobiliaria,Almagro S.A,Marca,San Eugenio 2,I-ALM-2227,211493,37
Almagro Inmobiliaria,Arcilla Roja,Marca,Rengo,I-ALM-2288,211493,37
Pilares,Pilares S.A,Ñuñoa,Guillermo Mann,I-SVS-2250,184861,16
Pilares,Pilares S.A,La Florida,Rodriguez Velasco,I-SVS-2289,183266,15
Pilares,ICSA,La Cisterna,Lo Ovalle,I-SVS-2296,181562,16
Pilares,Pilares S.A,La Florida,Vicuña Mackenna 7244,I-SVS-2131,181259,16
Pilares,ICSA,Santiago Centro,Edificio Ñuble,I-SVS-2173,179759,16
Socovesa,Socovesa Sur S.A,AON,Alto Maderos,I-SUR-2335,175795,28
Socovesa,Socovesa Sur S.A,AON,Edificio Vértice,I-SUR-2297,175793,28
Socovesa,Socovesa Sur S.A,AON,Icono,I-SUR-2334,175790,28
Socovesa,Socovesa Sur S.A,AON,N3,I-SUR-2331,175784,28
Socovesa,Socovesa Sur S.A,AON,Nueva Toledo,I-SUR-2334,175781,28
Socovesa,Socovesa Sur S.A,AON,O3,I-SUR-2373,175779,28
Socovesa,Socovesa Sur S.A,AON,Origen,I-SUR-2346,175777,28
Socovesa,Socovesa Sur S.A,AON,Parque Avellanos,I-SUR-2336,175775,28
Socovesa,Socovesa Sur S.A,AON,Reserva Magallanes,I-SUR-2323,175774,28
Socovesa,Socovesa Sur S.A,AON,Terraza Mirador,I-SUR-2333,175771,28
Almagro Inmobiliaria,Arcilla Roja,Las Condes,PLP 1,I-ALM-2226,169823,36
Pilares,ICSA,Marca,Conde del Maule,I-SVS-2255,166637,16
Pilares,Pilares S.A,Marca,Edificio Ñuble,I-SVS-2173,166637,16
Pilares,Pilares S.A,Marca,Guillermo Mann,I-SVS-2250,166633,16
Pilares,ICSA,Marca,Lo Ovalle,I-SVS-2296,166631,16
Pilares,Pilares S.A,Marca,Rodriguez Velasco,I-SVS-2289,166628,16
Pilares,ICSA,Marca,Santos Dumont,I-SVS-2246,166627,16
Pilares,Pilares S.A,Marca,Vicuña Mackenna 7244,I-SVS-2131,166624,16
Almagro Inmobiliaria,Arcilla Roja,Providencia,Almagro Hub,I-ALM-2189,165650,36
Almagro Inmobiliaria,Almagro S.A,Providencia,Lyon Bilbao,I-ALM-2211,165233,36
Almagro Inmobiliaria,Madagascar,Las Condes,Almagro District,I-ALM-2399,164128,36
Almagro Inmobiliaria,Almagro S.A,Ñuñoa,San Eugenio 2,I-ALM-2227,163122,37
Almagro Inmobiliaria,Arcilla Roja,Las Condes,PLP 2,I-ALM-2306,162887,36
Almagro Inmobiliaria,Almagro S.A,Santiago Centro,Carrera 4,I-ALM-2275,162581,36
Almagro Inmobiliaria,Almagro S.A,Antofagasta,Indico,I-ALM-1453,160714,36
Almagro Inmobiliaria,Almagro S.A,Lo Barnechea,Los Cactus,I-ALM-2342,157612,36
Socovesa,Socovesa Sur S.A,Temuco,N3,I-SUR-2331,134670,28
Socovesa,Socovesa Sur S.A,Temuco,O3,I-SUR-2373,89020,28
Socovesa,Socovesa Sur S.A,Temuco,Edificio Vértice,I-SUR-2297,88645,28
Socovesa,Socovesa Sur S.A,Chillán,Nueva Toledo,I-SUR-2334,88531,28
Socovesa,Socovesa Sur S.A,Los Ángeles,Parque Avellanos,I-SUR-2336,87803,28
Socovesa,Socovesa Sur S.A,Punta Arenas,Reserva Magallanes,I-SUR-2323,87802,28
Socovesa,Socovesa Sur S.A,Los Ángeles,Alto Maderos,I-SUR-2335,87006,28
Pilares,ICSA,Inversionista,Conde del Maule,I-SVS-2255,79008,16
Pilares,Pilares S.A,Inversionista,Edificio Ñuble,I-SVS-2173,79007,16
Pilares,Pilares S.A,Inversionista,Guillermo Mann,I-SVS-2250,79005,16
Pilares,ICSA,Inversionista,Lo Ovalle,I-SVS-2296,79001,16
Pilares,Pilares S.A,Inversionista,Rodriguez Velasco,I-SVS-2289,78999,16
Pilares,ICSA,Inversionista,Santos Dumont,I-SVS-2246,78997,16
Pilares,Pilares S.A,Inversionista,Vicuña Mackenna 7244,I-SVS-2131,78995,16
Almagro Inmobiliaria,Madagascar,PPP,Almagro District,I-ALM-2399,65801,37
Almagro Inmobiliaria,Arcilla Roja,PPP,Almagro Hub,I-ALM-2189,65797,37
Almagro Inmobiliaria,Almagro S.A,PPP,Almagro Plus,I-ALM-2234,65794,37
Almagro Inmobiliaria,Almagro S.A,PPP,Balance,I-ALM-2358,65790,37
Almagro Inmobiliaria,Almagro S.A,PPP,Carrera 4,I-ALM-2275,65789,37
Almagro Inmobiliaria,Almagro S.A,PPP,Indico,I-ALM-1453,65789,37
Almagro Inmobiliaria,Almagro S.A,PPP,Insigne,I-ALM-2157,65787,37
Almagro Inmobiliaria,Almagro S.A,PPP,Los Cactus,I-ALM-2342,65784,37
Almagro Inmobiliaria,Almagro S.A,PPP,Lyon Bilbao,I-ALM-2211,65781,37
Almagro Inmobiliaria,Arcilla Roja,PPP,PLP 1,I-ALM-2226,65779,37
Almagro Inmobiliaria,Arcilla Roja,PPP,PLP 2,I-ALM-2306,65777,37
Almagro Inmobiliaria,Almagro S.A,PPP,Parque Brasil,I-ALM-2285,65774,37
Almagro Inmobiliaria,Arcilla Roja,PPP,Rengo,I-ALM-2288,65773,37
Almagro Inmobiliaria,Almagro S.A,PPP,San Eugenio 2,I-ALM-2227,65768,37
Socovesa,Socovesa Sur S.A,Inversionista,Alto Maderos,I-SUR-2335,65485,28
Socovesa,Socovesa Sur S.A,Inversionista,Edificio Vértice,I-SUR-2297,65484,28
Socovesa,Socovesa Sur S.A,Inversionista,García Reyes,I-SUR-2283,65483,28
Socovesa,Socovesa Sur S.A,Inversionista,Icono,I-SUR-2372,65481,28
Socovesa,Socovesa Sur S.A,Inversionista,N3,I-SUR-2331,65478,28
Socovesa,Socovesa Sur S.A,Inversionista,Nueva Toledo,I-SUR-2334,65476,28
Socovesa,Socovesa Sur S.A,Inversionista,O3,I-SUR-2373,65474,28
Socovesa,Socovesa Sur S.A,Inversionista,Origen,I-SUR-2346,65472,28
Socovesa,Socovesa Sur S.A,Inversionista,PDL,I-SUR-2372,65470,28
Socovesa,Socovesa Sur S.A,Inversionista,Parque Avellanos,I-SUR-2336,65470,28
Socovesa,Socovesa Sur S.A,Inversionista,Portal Austral,I-SUR-2340,65467,28
Socovesa,Socovesa Sur S.A,Inversionista,Reserva Magallanes,I-SUR-2323,65465,28
Socovesa,Socovesa Sur S.A,Inversionista,Terraza Mirador,I-SUR-2333,65460,28
Socovesa,Socovesa Sur S.A,Temuco,Icono,I-SUR-2346,44400,28
Socovesa,Socovesa Sur S.A,Temuco,Origen,I-SUR-2346,44391,28
Almagro Inmobiliaria,Madagascar,Blog,Almagro District,I-ALM-2399,7006,37
Almagro Inmobiliaria,Arcilla Roja,Blog,Almagro Hub,I-ALM-2189,7001,37
Almagro Inmobiliaria,Almagro S.A,Blog,Almagro Plus,I-ALM-2234,6996,37
Almagro Inmobiliaria,Almagro S.A,Blog,Balance,I-ALM-2358,6995,37
Almagro Inmobiliaria,Almagro S.A,Blog,Carrera 4,I-ALM-2275,6994,37
Almagro Inmobiliaria,Almagro S.A,Blog,Indico,I-ALM-1453,6994,37
Almagro Inmobiliaria,Almagro S.A,Blog,Insigne,I-ALM-2157,6990,37
Almagro Inmobiliaria,Almagro S.A,Blog,Los Cactus,I-ALM-2342,6987,37
Almagro Inmobiliaria,Almagro S.A,Blog,Lyon Bilbao,I-ALM-2211,6985,37
Almagro Inmobiliaria,Arcilla Roja,Blog,PLP 1,I-ALM-2226,6981,37
Almagro Inmobiliaria,Arcilla Roja,Blog,PLP 2,I-ALM-2306,6978,37
Almagro Inmobiliaria,Almagro S.A,Blog,Parque Brasil,I-ALM-2285,6975,37
Almagro Inmobiliaria,Almagro S.A,Blog,San Eugenio 2,I-ALM-2227,6972,37
Almagro Inmobiliaria,Arcilla Roja,Blog,Rengo,I-ALM-2288,6972,37
