Nivel,Referencia solicitada,Mes,Razon social,Plataforma,Marca,Comuna,Proyecto,PEP,Nombre de campana,ID transaccion / N factura,Fecha de pago,N referencia,Codigo descripcion cobro,Desglose Cobro TC,Monto moneda origen,Monto US,Validacion monto,Monto real visible,Monto aperturado,Invoice ID,Invoice date,Reference type,Mapping brand,Matched,Split index,Split count
TOTAL CAMPANA,XLX3TKR6E2,2026-04,Pilares S.A,Meta,Pilares,AON,Guillermo Mann,I-SVS-2250,FB_Pilares_Advantage_Proyectos,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,230214.0,600000.0,666.36,Coincide,230214.0,,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,,5
Apertura,XLX3TKR6E2,2026-04,Pilares S.A,Meta,Pilares,AON,Edificio Ñuble,I-SVS-2173,FB_Pilares_Advantage_Proyectos,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,46043,600000.0,666.36,Coincide,,46043.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,1,5
Apertura,XLX3TKR6E2,2026-04,Pilares S.A,Meta,Pilares,AON,Guillermo Mann,I-SVS-2250,FB_Pilares_Advantage_Proyectos,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,46043,600000.0,666.36,Coincide,,46043.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,2,5
Apertura,XLX3TKR6E2,2026-04,ICSA,Meta,Pilares,AON,Lo Ovalle,I-SVS-2296,FB_Pilares_Advantage_Proyectos,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,46043,600000.0,666.36,Coincide,,46043.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,3,5
Apertura,XLX3TKR6E2,2026-04,Pilares S.A,Meta,Pilares,AON,Rodriguez Velasco,I-SVS-2289,FB_Pilares_Advantage_Proyectos,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,46043,600000.0,666.36,Coincide,,46043.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,4,5
Apertura,XLX3TKR6E2,2026-04,Pilares S.A,Meta,Pilares,AON,Vicuña Mackenna 7244,I-SVS-2131,FB_Pilares_Advantage_Proyectos,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,46042,600000.0,666.36,Coincide,,46042.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,5,5
TOTAL CAMPANA,XLX3TKR6E2,2026-04,Pilares S.A,Meta,Pilares,Marca,Guillermo Mann,I-SVS-2250,FB_Pilares_Awareness,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,73119.0,600000.0,666.36,Coincide,73119.0,,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,,7
Apertura,XLX3TKR6E2,2026-04,ICSA,Meta,Pilares,Marca,Conde del Maule,I-SVS-2255,FB_Pilares_Awareness,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,10446,600000.0,666.36,Coincide,,10446.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,1,7
Apertura,XLX3TKR6E2,2026-04,Pilares S.A,Meta,Pilares,Marca,Edificio Ñuble,I-SVS-2173,FB_Pilares_Awareness,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,10446,600000.0,666.36,Coincide,,10446.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,2,7
Apertura,XLX3TKR6E2,2026-04,Pilares S.A,Meta,Pilares,Marca,Guillermo Mann,I-SVS-2250,FB_Pilares_Awareness,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,10446,600000.0,666.36,Coincide,,10446.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,3,7
Apertura,XLX3TKR6E2,2026-04,ICSA,Meta,Pilares,Marca,Lo Ovalle,I-SVS-2296,FB_Pilares_Awareness,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,10446,600000.0,666.36,Coincide,,10446.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,4,7
Apertura,XLX3TKR6E2,2026-04,Pilares S.A,Meta,Pilares,Marca,Rodriguez Velasco,I-SVS-2289,FB_Pilares_Awareness,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,10445,600000.0,666.36,Coincide,,10445.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,5,7
Apertura,XLX3TKR6E2,2026-04,ICSA,Meta,Pilares,Marca,Santos Dumont,I-SVS-2246,FB_Pilares_Awareness,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,10445,600000.0,666.36,Coincide,,10445.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,6,7
Apertura,XLX3TKR6E2,2026-04,Pilares S.A,Meta,Pilares,Marca,Vicuña Mackenna 7244,I-SVS-2131,FB_Pilares_Awareness,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,10445,600000.0,666.36,Coincide,,10445.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,7,7
