month,platform,brand,legalEntity,comuna,project,pepCode,campaignName,amount,invoiceId,invoiceDate,paymentDate,paymentReference,referenceId,referenceType,chargeAmountValidation,matched,mappingBrand,cartolaMatchStatus
2026-07,Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Almagro Plus,I-ALM-2234,Nacional | AO S | Por Categoria | Always On,116110,5649119028,2026-07-31,2026-07-31,,5649119028,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC julio completa
2026-07,Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,Almagro Plus,I-ALM-2234,Santiago | AO S | Inversionistas 2,57735,5649119028,2026-07-31,2026-07-31,,5649119028,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC julio completa
2026-07,Google Ads,Almagro Inmobiliaria,Almagro S.A,Ñuñoa,Almagro Plus,I-ALM-2234,Santiago | AO S | Por Comuna | Nunoa #2,1306656,5649119028,2026-07-31,2026-07-31,,5649119028,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC julio completa
2026-07,Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Almagro Plus,I-ALM-2234,Santiago | AO S | Tudeptoestupie,69116,5649119028,2026-07-31,2026-07-31,,5649119028,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC julio completa
2026-07,Google Ads,Almagro Inmobiliaria,Almagro S.A,Ñuñoa,Almagro Plus,I-ALM-2234,Santiago | MR | Plus,482979,5649119028,2026-07-31,2026-07-31,,5649119028,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC julio completa
2026-07,Google Ads,Almagro Inmobiliaria,Almagro S.A,Ñuñoa,Almagro Plus,I-ALM-2234,Santiago | MR | Plus,10593,5649119028,2026-07-31,2026-07-31,,5649119028,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC julio completa
2026-07,Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Almagro Terra,I-ALM-2360,Antofagasta | MR | Almagro Terra,215646,5649119028,2026-07-31,2026-07-31,,5649119028,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC julio completa
2026-07,Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Almagro Terra,I-ALM-2360,Antofagasta | MR | Almagro Terra,826,5649119028,2026-07-31,2026-07-31,,5649119028,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC julio completa
2026-07,Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Balance,I-ALM-2358,Nacional | AO S | Por Categoria | Always On,116110,5649119028,2026-07-31,2026-07-31,,5649119028,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC julio completa
2026-07,Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,Balance,I-ALM-2358,Santiago | AO S | Inversionistas 2,57735,5649119028,2026-07-31,2026-07-31,,5649119028,invoiceNumber,Sin match,True,Almagro,Pendiente cartola TC julio completa
