platform,brand,legalEntity,comuna,project,pepCode,amount
Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Parque Brasil,I-ALM-2285,2697019
Google Ads,Socovesa,Inmobiliaria El Descubridor,Maipú,Pajaritos,I-STG-2204,2632578
Google Ads,Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Lampa,Los Coihues,I-STG-2325,2525901
Google Ads,Socovesa,Sociedad Comercializadora Metropolitana,Macul,Coipue,I-STG-2229,2514796
Meta,Pilares,Pilares S.A,AON,Guillermo Mann,I-SVS-2250,2419631
Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Indico,I-ALM-1453,2194508
Google Ads,Socovesa,Pilares S.A,Ñuñoa,Marathon,I-SVS-2349,2042623
Google Ads,Almagro Inmobiliaria,Almagro S.A,Ñuñoa,Almagro Plus,I-ALM-2234,1800228
Google Ads,Almagro Inmobiliaria,Almagro S.A,Macul,Insigne,I-ALM-2157,1799076
Meta,Socovesa,Socovesa Sur S.A,Puerto Montt,Terraza Mirador,I-SUR-2333,1772442
Meta,Socovesa,Pilares S.A,Ñuñoa,Marathon,I-SVS-2349,1739094
Meta,Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Lampa,Las Pataguas,I-STG-2366,1715879
Meta,Socovesa,Inmobiliaria El Descubridor,Maipú,Pajaritos,I-STG-2204,1709293
Google Ads,Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Lampa,Las Pataguas,I-STG-2366,1689261
Meta,Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Lampa,Los Coihues,I-STG-2325,1670601
Meta,Socovesa,Sociedad Comercializadora Metropolitana,Macul,Coipue,I-STG-2229,1666604
Meta,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Valle del Mar,I-ALM-1453,1598061
Meta,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Parque Brasil,I-ALM-2285,1544631
Google Ads,Pilares,ICSA,Estación Central,Conde del Maule,I-SVS-2255,1513765
Google Ads,Pilares,ICSA,Independencia,Santos Dumont,I-SVS-2246,1484158
Meta,Almagro Inmobiliaria,Almagro S.A,Santiago,Insigne,I-ALM-2157,1482691
Google Ads,Almagro Inmobiliaria,Almagro SA,Vitacura,Agustín del Castillo,,1469814
Meta,Almagro Inmobiliaria,Almagro S.A,Macul,Insigne,I-ALM-2157,1434914
Google Ads,Almagro Inmobiliaria,Almagro S.A,Ñuñoa,San Eugenio 2,I-ALM-2227,1306655
Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Valle del Mar,I-ALM-1453,1304477
Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago Centro,Carrera 4,I-ALM-2275,1302021
Meta,Almagro Inmobiliaria,Almagro S.A,Santiago,Signature,I-ALM-2354,1301737
Meta,Almagro Inmobiliaria,Almagro S.A,Ñuñoa,Almagro Plus,I-ALM-2234,1208686
Meta,Almagro Inmobiliaria,Almagro S.A,Santiago,Carrera 4,I-ALM-2275,1204765
Meta,Almagro Inmobiliaria,Almagro S.A,Santiago,San Eugenio 2,I-ALM-2227,1203094
Meta,Pilares,ICSA,Estación Central,Conde del Maule,I-SVS-2255,1175259
Meta,Pilares,ICSA,Independencia,Santos Dumont,I-SVS-2246,1173896
Meta,Almagro Inmobiliaria,Arcilla Roja,AON,Almagro Hub,I-ALM-2189,1059301
Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago,Signature,I-ALM-2354,1048900
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Providencia,Almagro Hub,I-ALM-2189,1043255
Meta,Pilares,Arcilla Roja,Santiago Centro,Franklin,I-ALM-2212,995456
Meta,Almagro Inmobiliaria,Madagascar,Las Condes,Almagro District,I-ALM-2399,958159
Meta,Almagro Inmobiliaria,Arcilla Roja,Providencia,Almagro Hub,I-ALM-2189,954079
Google Ads,Socovesa,INSOCO,La Florida,Plaza Mirador,I-STG-2391,940889
Google Ads,Pilares,ICSA,Santiago Centro,Edificio Ñuble,I-SVS-2173,903256
Google Ads,Pilares,Pilares S.A,Ñuñoa,Guillermo Mann,I-SVS-2250,888328
Google Ads,Pilares,ICSA,La Cisterna,Lo Ovalle,I-SVS-2296,883425
Meta,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Almagro Terra,I-ALM-2360,882232
Google Ads,Pilares,Pilares S.A,La Florida,Rodriguez Velasco,I-SVS-2289,871682
Google Ads,Pilares,Pilares S.A,La Florida,Vicuña Mackenna 7244,I-SVS-2131,871681
Google Ads,Socovesa,Socovesa Sur S.A,Temuco,N3,I-SUR-2331,857472
Google Ads,Socovesa,Pilares S.A,La Florida,Rodriguez Velasco,I-SVS-2289,852171
Google Ads,Socovesa,Pilares S.A,La Florida,Vicuña Mackenna 7244,I-SVS-2131,852170
Google Ads,Almagro Inmobiliaria,Almagro S.A,Lo Barnechea,Los Cactus,I-ALM-2342,818611
Google Ads,Almagro Inmobiliaria,Almagro S.A,Providencia,Balance,I-ALM-2358,797098
Google Ads,Almagro Inmobiliaria,Almagro S.A,Providencia,Lyon Bilbao,I-ALM-2211,797098
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Providencia,Rengo,I-ALM-2288,797097
Google Ads,Almagro Inmobiliaria,Madagascar,Las Condes,Almagro District,I-ALM-2399,788579
Google Ads,Socovesa,Socovesa Sur S.A,Chillán,PDL,I-SUR-2372,781234
Google Ads,Socovesa,Socovesa Sur S.A,Valdivia,García Reyes,I-SUR-2283,692439
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Las Condes,PLP 1,I-ALM-2226,544751
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Las Condes,PLP 2,I-ALM-2306,544750
Google Ads,Pilares,Arcilla Roja,Santiago Centro,Franklin,I-ALM-2212,541125
Meta,Almagro Inmobiliaria,Almagro S.A,AON,Carrera 4,I-ALM-2275,536520
Meta,Almagro Inmobiliaria,Almagro S.A,AON,Indico,I-ALM-1453,536520
Meta,Almagro Inmobiliaria,Almagro S.A,AON,Los Cactus,I-ALM-2342,536520
Meta,Almagro Inmobiliaria,Almagro S.A,AON,Lyon Bilbao,I-ALM-2211,536518
Meta,Almagro Inmobiliaria,Almagro S.A,AON,San Eugenio 2,I-ALM-2227,536518
Meta,Almagro Inmobiliaria,Arcilla Roja,AON,PLP 1,I-ALM-2226,536518
Meta,Almagro Inmobiliaria,Arcilla Roja,AON,PLP 2,I-ALM-2306,536518
Meta,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Indico,I-ALM-1453,536496
Google Ads,Socovesa,Socovesa Sur S.A,Punta Arenas,Reserva Magallanes,I-SUR-2323,515012
Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago,Carrera 4,I-ALM-2275,490461
Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago,San Eugenio 2,I-ALM-2227,489501
Google Ads,Socovesa,Socovesa Sur S.A,Temuco,Icono,,482188
Google Ads,Socovesa,Socovesa Sur S.A,Temuco,O3,I-SUR-2373,482188
Google Ads,Socovesa,Socovesa Sur S.A,Temuco,Origen,I-SUR-2346,482188
Google Ads,Socovesa,Socovesa Sur S.A,Temuco,Edificio Vértice,I-SUR-2297,478862
Meta,Socovesa,Socovesa Sur S.A,Temuco,N3,I-SUR-2331,461367
Meta,Socovesa,Socovesa Sur S.A,Valdivia,García Reyes,I-SUR-2283,454891
Meta,Socovesa,Socovesa Sur S.A,Puerto Montt,Portal Austral,I-SUR-2340,450323
Meta,Socovesa,Socovesa Sur S.A,Chillán,PDL,I-SUR-2372,449227
Meta,Pilares,ICSA,AON,Edificio Ñuble,I-SVS-2173,441326
Meta,Pilares,ICSA,AON,Lo Ovalle,I-SVS-2296,441323
Meta,Pilares,Pilares S.A,AON,Rodriguez Velasco,I-SVS-2289,441323
Meta,Pilares,Pilares S.A,AON,Vicuña Mackenna 7244,I-SVS-2131,441323
Google Ads,Socovesa,Socovesa Sur S.A,Puerto Montt,Portal Austral,I-SUR-2340,429235
Google Ads,Socovesa,Socovesa Sur S.A,Puerto Montt,Terraza Mirador,I-SUR-2333,429235
Google Ads,Socovesa,Socovesa Sur S.A,Chillán,Nueva Toledo,I-SUR-2334,421120
Meta,Socovesa,Sociedad Comercializadora Metropolitana,Marca,Coipue,I-STG-2229,400214
Meta,Socovesa,Consorcio Inmobiliario Macul,Marca,Las Palmas,I-STG-2205,400213
Meta,Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Marca,Las Pataguas,I-STG-2366,400212
Meta,Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Marca,Los Coihues,I-STG-2325,400212
Meta,Socovesa,Inmobiliaria El Descubridor,Marca,Pajaritos,I-STG-2204,400212
Meta,Socovesa,Pilares S.A,Marca,Marathon,I-SVS-2349,400212
Meta,Almagro Inmobiliaria,Almagro S.A,Ñuñoa,San Eugenio 2,I-ALM-2227,342072
Google Ads,Socovesa,Consorcio Inmobiliario Macul,Genérico,Las Palmas,I-STG-2205,269630
Google Ads,Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Genérico,Las Pataguas,I-STG-2366,269630
Google Ads,Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Genérico,Los Coihues,I-STG-2325,269630
Google Ads,Socovesa,Inmobiliaria El Descubridor,Genérico,Pajaritos,I-STG-2204,269630
Google Ads,Socovesa,Pilares S.A,Genérico,Marathon,I-SVS-2349,269630
Google Ads,Socovesa,Sociedad Comercializadora Metropolitana,Genérico,Coipue,I-STG-2229,269630
Google Ads,Socovesa,Socovesa Sur S.A,Los Ángeles,Alto Maderos,I-SUR-2335,258749
Google Ads,Socovesa,Socovesa Sur S.A,Los Ángeles,Parque Avellanos,I-SUR-2336,258748
Meta,Almagro Inmobiliaria,Madagascar,Marca,Almagro District,I-ALM-2399,233591
Meta,Almagro Inmobiliaria,Almagro S.A,Marca,Almagro Plus,I-ALM-2234,233590
Meta,Almagro Inmobiliaria,Arcilla Roja,Marca,Almagro Hub,I-ALM-2189,233590
Meta,Almagro Inmobiliaria,Almagro S.A,Marca,Balance,I-ALM-2358,233589
Meta,Almagro Inmobiliaria,Almagro S.A,Marca,Carrera 4,I-ALM-2275,233589
Meta,Almagro Inmobiliaria,Almagro S.A,Marca,Indico,I-ALM-1453,233588
Meta,Almagro Inmobiliaria,Almagro S.A,Marca,Insigne,I-ALM-2157,233588
Meta,Almagro Inmobiliaria,Almagro S.A,Marca,Los Cactus,I-ALM-2342,233588
Meta,Almagro Inmobiliaria,Almagro S.A,Marca,Lyon Bilbao,I-ALM-2211,233588
Meta,Almagro Inmobiliaria,Almagro S.A,Marca,Parque Brasil,I-ALM-2285,233588
Meta,Almagro Inmobiliaria,Almagro S.A,Marca,San Eugenio 2,I-ALM-2227,233588
Meta,Almagro Inmobiliaria,Arcilla Roja,Marca,PLP 1,I-ALM-2226,233588
Meta,Almagro Inmobiliaria,Arcilla Roja,Marca,PLP 2,I-ALM-2306,233588
Meta,Almagro Inmobiliaria,Arcilla Roja,Marca,Rengo,I-ALM-2288,233588
Meta,Socovesa,Socovesa Sur S.A,AON,Alto Maderos,I-SUR-2335,224583
Meta,Socovesa,Socovesa Sur S.A,AON,Edificio Vértice,I-SUR-2297,224583
Meta,Socovesa,Socovesa Sur S.A,AON,Icono,,224583
Meta,Socovesa,Socovesa Sur S.A,AON,N3,I-SUR-2331,224582
Meta,Socovesa,Socovesa Sur S.A,AON,Nueva Toledo,I-SUR-2334,224582
Meta,Socovesa,Socovesa Sur S.A,AON,O3,I-SUR-2373,224582
Meta,Socovesa,Socovesa Sur S.A,AON,Origen,I-SUR-2346,224581
Meta,Socovesa,Socovesa Sur S.A,AON,Parque Avellanos,I-SUR-2336,224581
Meta,Socovesa,Socovesa Sur S.A,AON,Reserva Magallanes,I-SUR-2323,224581
Meta,Socovesa,Socovesa Sur S.A,AON,Terraza Mirador,I-SUR-2333,224581
Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Almagro Terra,I-ALM-2360,216472
Meta,Pilares,ICSA,Marca,Conde del Maule,I-SVS-2255,190676
Meta,Pilares,ICSA,Marca,Edificio Ñuble,I-SVS-2173,190675
Meta,Pilares,ICSA,Marca,Lo Ovalle,I-SVS-2296,190675
Meta,Pilares,Pilares S.A,Marca,Guillermo Mann,I-SVS-2250,190675
Meta,Pilares,Pilares S.A,Marca,Rodriguez Velasco,I-SVS-2289,190675
Meta,Pilares,ICSA,Marca,Santos Dumont,I-SVS-2246,190674
Meta,Pilares,Pilares S.A,Marca,Vicuña Mackenna 7244,I-SVS-2131,190673
Meta,Almagro Inmobiliaria,Almagro S.A,Providencia,Balance,I-ALM-2358,185826
Meta,Almagro Inmobiliaria,Arcilla Roja,Providencia,Rengo,I-ALM-2288,185511
Meta,Almagro Inmobiliaria,Almagro S.A,Lo Barnechea,Los Cactus,I-ALM-2342,184465
Meta,Almagro Inmobiliaria,Arcilla Roja,Las Condes,PLP 1,I-ALM-2226,184348
Meta,Almagro Inmobiliaria,Almagro S.A,Providencia,Lyon Bilbao,I-ALM-2211,183586
Meta,Almagro Inmobiliaria,Almagro S.A,Almagro Plus,Almagro Plus,I-ALM-2234,175733
Meta,Almagro Inmobiliaria,Almagro S.A,Santiago Centro,Carrera 4,I-ALM-2275,175194
Google Ads,Almagro Propiedades,Almagro S.A,Propiedades,Insigne,I-ALM-2157,158248
Google Ads,Almagro Propiedades,Madagascar,Propiedades,Almagro District,I-ALM-2399,158084
Google Ads,Almagro Propiedades,Arcilla Roja,Propiedades,Almagro Hub,I-ALM-2189,158083
Google Ads,Almagro Propiedades,Almagro S.A,Propiedades,Balance,I-ALM-2358,158082
Google Ads,Almagro Propiedades,Almagro S.A,Propiedades,Carrera 4,I-ALM-2275,158082
Google Ads,Almagro Propiedades,Almagro S.A,Propiedades,Indico,I-ALM-1453,158082
Google Ads,Almagro Propiedades,Almagro S.A,Propiedades,Los Cactus,I-ALM-2342,158082
Google Ads,Almagro Propiedades,Almagro S.A,Propiedades,Lyon Bilbao,I-ALM-2211,158082
Google Ads,Almagro Propiedades,Arcilla Roja,Propiedades,PLP 1,I-ALM-2226,158082
Google Ads,Almagro Propiedades,Arcilla Roja,Propiedades,PLP 2,I-ALM-2306,158082
Google Ads,Almagro Propiedades,Almagro S.A,Propiedades,Parque Brasil,I-ALM-2285,158081
Google Ads,Almagro Propiedades,Almagro S.A,Propiedades,San Eugenio 2,I-ALM-2227,158081
Google Ads,Almagro Propiedades,Arcilla Roja,Propiedades,Rengo,I-ALM-2288,158081
Google Ads,Almagro Propiedades,Almagro S.A,Propiedades,Almagro Plus,I-ALM-2234,156154
Meta,Almagro Inmobiliaria,Arcilla Roja,Las Condes,PLP 2,I-ALM-2306,131989
Google Ads,Pilares,ICSA,Inversionista,Conde del Maule,I-SVS-2255,128578
Google Ads,Pilares,ICSA,Inversionista,Edificio Ñuble,I-SVS-2173,128578
Google Ads,Pilares,ICSA,Inversionista,Lo Ovalle,I-SVS-2296,128577
Google Ads,Pilares,ICSA,Inversionista,Santos Dumont,I-SVS-2246,128577
Google Ads,Pilares,Pilares S.A,Inversionista,Guillermo Mann,I-SVS-2250,128577
Google Ads,Pilares,Pilares S.A,Inversionista,Rodriguez Velasco,I-SVS-2289,128577
Google Ads,Pilares,Pilares S.A,Inversionista,Vicuña Mackenna 7244,I-SVS-2131,128577
Google Ads,Pilares,ICSA,Genérico,Conde del Maule,I-SVS-2255,127422
Google Ads,Pilares,ICSA,Genérico,Edificio Ñuble,I-SVS-2173,127422
Google Ads,Pilares,ICSA,Genérico,Lo Ovalle,I-SVS-2296,127422
Google Ads,Pilares,Pilares S.A,Genérico,Guillermo Mann,I-SVS-2250,127422
Google Ads,Pilares,Pilares S.A,Genérico,Rodriguez Velasco,I-SVS-2289,127422
Google Ads,Pilares,ICSA,Genérico,Santos Dumont,I-SVS-2246,127421
Google Ads,Pilares,Pilares S.A,Genérico,Vicuña Mackenna 7244,I-SVS-2131,127421
Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Almagro Plus,I-ALM-2234,116110
Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Balance,I-ALM-2358,116110
Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Carrera 4,I-ALM-2275,116110
Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Indico,I-ALM-1453,116110
Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Insigne,I-ALM-2157,116110
Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Los Cactus,I-ALM-2342,116110
Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Lyon Bilbao,I-ALM-2211,116110
Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Parque Brasil,I-ALM-2285,116110
Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,San Eugenio 2,I-ALM-2227,116110
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Genérico,Almagro Hub,I-ALM-2189,116110
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Genérico,PLP 1,I-ALM-2226,116110
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Genérico,PLP 2,I-ALM-2306,116110
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Genérico,Rengo,I-ALM-2288,116110
Google Ads,Almagro Inmobiliaria,Madagascar,Genérico,Almagro District,I-ALM-2399,116110
Meta,Pilares,ICSA,La Cisterna,Lo Ovalle,I-SVS-2296,111171
Meta,Pilares,Pilares S.A,Ñuñoa,Guillermo Mann,I-SVS-2250,110828
Meta,Pilares,Pilares S.A,La Florida,Rodriguez Velasco,I-SVS-2289,110738
Meta,Pilares,ICSA,Santiago Centro,Edificio Ñuble,I-SVS-2173,110424
Meta,Pilares,Pilares S.A,La Florida,Vicuña Mackenna 7244,I-SVS-2131,109430
Meta,Socovesa,Socovesa Sur S.A,Los Ángeles,Alto Maderos,I-SUR-2335,81008
Meta,Socovesa,Socovesa Sur S.A,Los Ángeles,Parque Avellanos,I-SUR-2336,80712
Meta,Socovesa,Socovesa Sur S.A,Chillán,Nueva Toledo,I-SUR-2334,80449
Meta,Socovesa,Socovesa Sur S.A,Temuco,Edificio Vértice,I-SUR-2297,80242
Meta,Socovesa,Socovesa Sur S.A,Punta Arenas,Reserva Magallanes,I-SUR-2323,80131
Meta,Socovesa,Socovesa Sur S.A,Temuco,O3,I-SUR-2373,79477
Meta,Almagro Inmobiliaria,Almagro S.A,PPP,Almagro Plus,I-ALM-2234,73188
Meta,Almagro Inmobiliaria,Almagro S.A,PPP,Balance,I-ALM-2358,73188
Meta,Almagro Inmobiliaria,Arcilla Roja,PPP,Almagro Hub,I-ALM-2189,73188
Meta,Almagro Inmobiliaria,Madagascar,PPP,Almagro District,I-ALM-2399,73188
Meta,Almagro Inmobiliaria,Almagro S.A,PPP,Carrera 4,I-ALM-2275,73187
Meta,Almagro Inmobiliaria,Almagro S.A,PPP,Indico,I-ALM-1453,73187
Meta,Almagro Inmobiliaria,Almagro S.A,PPP,Insigne,I-ALM-2157,73187
Meta,Almagro Inmobiliaria,Almagro S.A,PPP,Los Cactus,I-ALM-2342,73187
Meta,Almagro Inmobiliaria,Almagro S.A,PPP,Lyon Bilbao,I-ALM-2211,73187
Meta,Almagro Inmobiliaria,Arcilla Roja,PPP,PLP 1,I-ALM-2226,73187
Meta,Almagro Inmobiliaria,Arcilla Roja,PPP,PLP 2,I-ALM-2306,73187
Meta,Almagro Inmobiliaria,Almagro S.A,PPP,Parque Brasil,I-ALM-2285,73186
Meta,Almagro Inmobiliaria,Almagro S.A,PPP,San Eugenio 2,I-ALM-2227,73186
