platform,legalEntity,amount
Google Ads,Almagro S.A,20669741
Meta,Almagro S.A,19158015
Google Ads,Socovesa Sur S.A,7619365
Google Ads,Pilares S.A,7416548
Meta,Socovesa Sur S.A,7043037
Meta,Pilares S.A,6501960
Meta,Arcilla Roja,5842046
Google Ads,ICSA,5808601
Google Ads,Arcilla Roja,5075145
Google Ads,INMOBILIARIA ENCINAS DE PEÑALOLEN,4754422
Meta,ICSA,4425915
Meta,INMOBILIARIA ENCINAS DE PEÑALOLEN,4186904
Google Ads,Inmobiliaria El Descubridor,2902208
Google Ads,Sociedad Comercializadora Metropolitana,2784426
Meta,Inmobiliaria El Descubridor,2109505
Meta,Sociedad Comercializadora Metropolitana,2066968
Google Ads,Almagro SA,1469814
Meta,Madagascar,1272746
Google Ads,Madagascar,1189624
Google Ads,INSOCO,940889
Meta,Consorcio Inmobiliario Macul,400363
Google Ads,Consorcio Inmobiliario Macul,269630
