month,platform,brand,legalEntity,comuna,project,pepCode,campaignName,amount,invoiceId,invoiceDate,paymentDate,paymentReference,referenceId,referenceType,chargeAmountValidation,matched,mappingBrand,cartolaMatchStatus
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Almagro Plus,I-ALM-2234,Nacional | AO S | Por Categoria | Always On,105233,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,Almagro Plus,I-ALM-2234,Santiago | AO S | Inversionistas 2,41646,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Ñuñoa,Almagro Plus,I-ALM-2234,Santiago | AO S | Por Comuna | Nunoa #2,1464499,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Almagro Plus,I-ALM-2234,Santiago | AO S | Tudeptoestupie,71170,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Ñuñoa,Almagro Plus,I-ALM-2234,Santiago | MR | Plus,527215,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Ñuñoa,Almagro Plus,I-ALM-2234,Santiago | MR | Plus,22257,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Almagro Terra,I-ALM-2360,Antofagasta | Demand Gen | Almagro Terra,215958,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Almagro Terra,I-ALM-2360,Antofagasta | Demand Gen | Almagro Terra,192890,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Almagro Terra,I-ALM-2360,Antofagasta | MR | Almagro Terra,599071,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Almagro Terra,I-ALM-2360,Antofagasta | MR | Almagro Terra,13321,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
