platform,brand,legalEntity,comuna,project,pepCode,amount
Google Ads,Socovesa,Inmobiliaria El Descubridor,Maipú,Pajaritos,I-STG-2204,3401422
Google Ads,Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Lampa,Los Coihues,I-STG-2325,3394488
Meta,Almagro Inmobiliaria,Almagro S.A,Santiago,Insigne,I-ALM-2157,2713376
Meta,Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Lampa,Los Coihues,I-STG-2325,2488028
Meta,Socovesa,Inmobiliaria El Descubridor,Maipú,Pajaritos,I-STG-2204,2437574
Meta,Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Lampa,Las Pataguas,I-STG-2366,2199873
Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Indico,I-ALM-1453,2179183
Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Parque Brasil,I-ALM-2285,2179183
Google Ads,Socovesa,INMOBILIARIA ENCINAS DE PEÑALOLEN,Lampa,Las Pataguas,I-STG-2366,2177126
Google Ads,Socovesa,Pilares S.A,Ñuñoa,Marathon,I-SVS-2349,2064201
Google Ads,Almagro Inmobiliaria,Almagro S.A,Ñuñoa,Almagro Plus,I-ALM-2234,2013971
Google Ads,Almagro Inmobiliaria,Almagro S.A,Macul,Insigne,I-ALM-2157,2010571
Google Ads,Pilares,ICSA,Santiago Centro,Edificio Ñuble,I-SVS-2173,1967310
Meta,Socovesa,Pilares S.A,Ñuñoa,Marathon,I-SVS-2349,1947010
Google Ads,Socovesa,INSOCO,La Florida,Plaza Mirador,I-STG-2391,1762829
Meta,Pilares,Pilares S.A,AON,Guillermo Mann,I-SVS-2250,1717583
Meta,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Almagro Terra,I-ALM-2360,1641959
Google Ads,Socovesa,Sociedad Comercializadora Metropolitana,Macul,Coipue,I-STG-2229,1630301
Meta,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Parque Brasil,I-ALM-2285,1602104
Meta,Almagro Inmobiliaria,Almagro S.A,Macul,Insigne,I-ALM-2157,1599313
Google Ads,Pilares,ICSA,Estación Central,Conde del Maule,I-SVS-2255,1556240
Google Ads,Pilares,ICSA,Independencia,Santos Dumont,I-SVS-2246,1555753
Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago Centro,Carrera 4,I-ALM-2275,1467654
Google Ads,Almagro Inmobiliaria,Almagro S.A,Ñuñoa,San Eugenio 2,I-ALM-2227,1464499
