platform,legalEntity,amount
Meta,Almagro S.A,20424946
Google Ads,Almagro S.A,20257590
Google Ads,Socovesa Sur S.A,7657100
Google Ads,ICSA,7024075
Meta,Pilares S.A,6070818
Google Ads,INMOBILIARIA ENCINAS DE PEÑALOLEN,5947863
Google Ads,Pilares S.A,5756630
Meta,INMOBILIARIA ENCINAS DE PEÑALOLEN,5602967
Meta,Socovesa Sur S.A,5146520
Meta,Arcilla Roja,4565085
Meta,ICSA,4510948
Google Ads,Arcilla Roja,4173882
Google Ads,Inmobiliaria El Descubridor,3589546
Meta,Inmobiliaria El Descubridor,2895089
Google Ads,Sociedad Comercializadora Metropolitana,1818470
Google Ads,INSOCO,1762829
Meta,Sociedad Comercializadora Metropolitana,1320376
Meta,INSOCO,1087011
Meta,Consorcio Inmobiliario Macul,1023299
Google Ads,Madagascar,784441
Google Ads,Almagro SA,478338
Meta,Madagascar,468957
Google Ads,Consorcio Inmobiliario Macul,188125
