invoiceId,invoiceDate,month,platform,brand,campaignName,amount,paymentDate,paymentReference,chargeCode,chargeAmountOriginal,chargeAmountUsd,chargeAmountValidation,chargeTcAmount,legalEntity,comuna,project,pepCode,referenceId,referenceType,mappingBrand,splitCount,matched,sourceFile,cartolaReference,cartolaDate,cartolaDescription,cartolaCity
meta-almagro-inmobiliaria-2026-03,2026-03-10,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Antofagasta_Indico,6393,2026-03-10,DDT28H56E2,DDT28H56E2,600000,693.68,Coincide,,Almagro S.A,Antofagasta,Indico,I-ALM-1453,25935519369466764-25856422970709742,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-10T20-23 Transacción n.º 25935519369466764-25856422970709742.pdf,1103 74987506069000144089220,2026-03-11,FACEBK *DDT28H56E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-10,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Antofagasta_ParqueBrasil,7318,2026-03-10,DDT28H56E2,DDT28H56E2,600000,693.68,Coincide,,Almagro S.A,Antofagasta,Parque Brasil,I-ALM-2285,25935519369466764-25856422970709742,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-10T20-23 Transacción n.º 25935519369466764-25856422970709742.pdf,1103 74987506069000144089220,2026-03-11,FACEBK *DDT28H56E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-10,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_AlmagroDistrict,12618,2026-03-10,DDT28H56E2,DDT28H56E2,600000,693.68,Coincide,,Madagascar,Las Condes,Almagro District,I-ALM-2399,25935519369466764-25856422970709742,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-10T20-23 Transacción n.º 25935519369466764-25856422970709742.pdf,1103 74987506069000144089220,2026-03-11,FACEBK *DDT28H56E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-10,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_AlmagroHub,6520,2026-03-10,DDT28H56E2,DDT28H56E2,600000,693.68,Coincide,,Arcilla Roja,Providencia,Almagro Hub,I-ALM-2189,25935519369466764-25856422970709742,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-10T20-23 Transacción n.º 25935519369466764-25856422970709742.pdf,1103 74987506069000144089220,2026-03-11,FACEBK *DDT28H56E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-10,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_AlmagroPlus,8851,2026-03-10,DDT28H56E2,DDT28H56E2,600000,693.68,Coincide,,Almagro S.A,Almagro Plus,Almagro Plus,I-ALM-2234,25935519369466764-25856422970709742,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-10T20-23 Transacción n.º 25935519369466764-25856422970709742.pdf,1103 74987506069000144089220,2026-03-11,FACEBK *DDT28H56E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-10,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_Balance,9402,2026-03-10,DDT28H56E2,DDT28H56E2,600000,693.68,Coincide,,Almagro S.A,Providencia,Balance,I-ALM-2358,25935519369466764-25856422970709742,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-10T20-23 Transacción n.º 25935519369466764-25856422970709742.pdf,1103 74987506069000144089220,2026-03-11,FACEBK *DDT28H56E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-10,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_Carrera_IV,9009,2026-03-10,DDT28H56E2,DDT28H56E2,600000,693.68,Coincide,,Almagro S.A,Santiago Centro,Carrera 4,I-ALM-2275,25935519369466764-25856422970709742,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-10T20-23 Transacción n.º 25935519369466764-25856422970709742.pdf,1103 74987506069000144089220,2026-03-11,FACEBK *DDT28H56E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-10,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_Insigne,7983,2026-03-10,DDT28H56E2,DDT28H56E2,600000,693.68,Coincide,,Almagro S.A,Macul,Insigne,I-ALM-2157,25935519369466764-25856422970709742,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-10T20-23 Transacción n.º 25935519369466764-25856422970709742.pdf,1103 74987506069000144089220,2026-03-11,FACEBK *DDT28H56E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-10,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_LosCactus,5869,2026-03-10,DDT28H56E2,DDT28H56E2,600000,693.68,Coincide,,Almagro S.A,Lo Barnechea,Los Cactus,I-ALM-2342,25935519369466764-25856422970709742,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-10T20-23 Transacción n.º 25935519369466764-25856422970709742.pdf,1103 74987506069000144089220,2026-03-11,FACEBK *DDT28H56E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-10,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_LyonBilbao,6294,2026-03-10,DDT28H56E2,DDT28H56E2,600000,693.68,Coincide,,Almagro S.A,Providencia,Lyon Bilbao,I-ALM-2211,25935519369466764-25856422970709742,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-10T20-23 Transacción n.º 25935519369466764-25856422970709742.pdf,1103 74987506069000144089220,2026-03-11,FACEBK *DDT28H56E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-10,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_PadreLePaige,9433,2026-03-10,DDT28H56E2,DDT28H56E2,600000,693.68,Coincide,,Arcilla Roja,Las Condes,PLP 1,I-ALM-2226,25935519369466764-25856422970709742,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-10T20-23 Transacción n.º 25935519369466764-25856422970709742.pdf,1103 74987506069000144089220,2026-03-11,FACEBK *DDT28H56E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-10,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_PadreLePaige_Etapa2,6423,2026-03-10,DDT28H56E2,DDT28H56E2,600000,693.68,Coincide,,Arcilla Roja,Las Condes,PLP 2,I-ALM-2306,25935519369466764-25856422970709742,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-10T20-23 Transacción n.º 25935519369466764-25856422970709742.pdf,1103 74987506069000144089220,2026-03-11,FACEBK *DDT28H56E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-10,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_Rengo,7219,2026-03-10,DDT28H56E2,DDT28H56E2,600000,693.68,Coincide,,Arcilla Roja,Providencia,Rengo,I-ALM-2288,25935519369466764-25856422970709742,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-10T20-23 Transacción n.º 25935519369466764-25856422970709742.pdf,1103 74987506069000144089220,2026-03-11,FACEBK *DDT28H56E2,fb.me/ads
