month,brand,paymentDate,cartolaDate,paymentReference,statementReference,transactionId,campaignName,legalEntity,comuna,project,pepCode,campaignAmount,allocatedProjectAmount,cartolaAmountOriginal,cartolaAmountUsd,chargeAmountValidation,matchStatus,referenceTotalAmount,sourceCartola
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOL_CentroSur_AltoMaderosll,Socovesa Sur S.A,Los Ángeles,Alto Maderos,I-SUR-2335,2729,2729,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOL_CentroSur_ElAvellano_E2,Socovesa Sur S.A,Los Ángeles,Parque Avellanos,I-SUR-2336,1936,1936,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOL_CentroSur_NuevaToledo,Socovesa Sur S.A,Chillán,Nueva Toledo,I-SUR-2334,2399,2399,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOL_CentroSur_PortaldelLibertadorVIII,Socovesa Sur S.A,Chillán,PDL,I-SUR-2372,2765,2765,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOL_SantiagoMedio_Coipue,Sociedad Comercializadora Metropolitana,Macul,Coipue,I-STG-2229,8269,8269,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOL_SantiagoMedio_LosCoihues,INMOBILIARIA ENCINAS DE PEÑALOLEN,Lampa,Los Coihues,I-STG-2325,16182,16182,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOL_SantiagoMedio_Marathon,Pilares S.A,Ñuñoa,Marathon,I-SVS-2349,14418,14418,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOL_SantiagoMedio_Pajaritos,Inmobiliaria El Descubridor,Maipú,Pajaritos,I-STG-2204,19717,19717,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOL_SantiagoMedio_PlazaMirador,INSOCO,La Florida,Plaza Mirador,I-STG-2391,7126,7126,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOL_SantiagoSubsidio_LasPataguas,INMOBILIARIA ENCINAS DE PEÑALOLEN,Lampa,Las Pataguas,I-STG-2366,8702,8702,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOL_SurAustral_PortalAustral,Socovesa Sur S.A,Puerto Montt,Portal Austral,I-SUR-2340,2932,2932,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOL_SurAustral_ReservaMagallanes,Socovesa Sur S.A,Punta Arenas,Reserva Magallanes,I-SUR-2323,2241,2241,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOL_SurAustral_TerrazaMiradorII,Socovesa Sur S.A,Puerto Montt,Terraza Mirador,I-SUR-2333,2905,2905,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOL_Sur_CasasEnElPortal,Socovesa Sur S.A,Temuco,Icono,I-SUR-2346,2541,1271,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOL_Sur_CasasEnElPortal,Socovesa Sur S.A,Temuco,Origen,I-SUR-2346,2541,1270,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOL_Sur_EdificioVertice,Socovesa Sur S.A,Temuco,Edificio Vértice,I-SUR-2297,2335,2335,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOL_Sur_GarciaReyes,Socovesa Sur S.A,Valdivia,García Reyes,I-SUR-2283,2625,2625,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOL_Sur_ParqueOlimpia_O3,Socovesa Sur S.A,Temuco,O3,I-SUR-2373,2638,2638,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOL_Sur_VistaNielol_N3,Socovesa Sur S.A,Temuco,N3,I-SUR-2331,4642,4642,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOT_CentroSur_PortaldelLibertador,Socovesa Sur S.A,Chillán,PDL,I-SUR-2372,8892,8892,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOT_SantiagoMedio_LosCoihues,INMOBILIARIA ENCINAS DE PEÑALOLEN,Lampa,Los Coihues,I-STG-2325,68007,68007,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOT_SantiagoMedio_Marathon,Pilares S.A,Ñuñoa,Marathon,I-SVS-2349,47627,47627,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOT_SantiagoMedio_Pajaritos,Inmobiliaria El Descubridor,Maipú,Pajaritos,I-STG-2204,62011,62011,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOT_SantiagoMedio_PlazaMirador,INSOCO,La Florida,Plaza Mirador,I-STG-2391,25234,25234,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOT_SantiagoSubsidio_LasPataguas,INMOBILIARIA ENCINAS DE PEÑALOLEN,Lampa,Las Pataguas,I-STG-2366,54270,54270,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-06,Socovesa,2026-06-01,01/06/2026,GXSPZRV5E2,0106 74987506151000933342086,27306747502349768-27306270765730772,FB_AOT_SurAustral_PortalAustral,Socovesa Sur S.A,Puerto Montt,Portal Austral,I-SUR-2340,9077,9077,600000,69102.0,Coincide,Match cartola + proyecto,600000,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
