month,brand,date,transactionId,paymentReference,metaAmount,cartolaChargeCode,cartolaAmountOriginal,cartolaAmountUsd,matchStatus,sourceFile,cartolaSourceFile
2026-05,Almagro Inmobiliaria,2026-05-05,26621554994196529-26575486115470083,24SKDNV6E2,600000,,,,Sin cartola,Facturas Meta/Almagro/mayo_2026/2026-05-05T14-15 Transacción n.º 26621554994196529-26575486115470083.pdf,
2026-05,Socovesa,2026-05-20,27050630731294785-27035246256166563,2C9ZQQ56E2,600000,2C9ZQQ56E2,600000,67772.0,Coincide,Facturas Meta/Socovesa/mayo_2026/2026-05-20T09-10 Transacción n.º 27050630731294785-27035246256166563.pdf,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-05,Socovesa,2026-05-30,27172998005724720-27294007003623818,2QBKYR56E2,600000,2QBKYR56E2,600000,69102.0,Coincide,Facturas Meta/Socovesa/mayo_2026/2026-05-30T21-30 Transacción n.º 27172998005724720-27294007003623818.pdf,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-05,Socovesa,2026-05-21,27047627594928429-27042891128735406,2TPEAQV6E2,598044,2TPEAQV6E2,598044,68299.0,Coincide,Facturas Meta/Socovesa/mayo_2026/2026-05-21T09-23 Transacción n.º 27047627594928429-27042891128735406.pdf,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-05,Socovesa,2026-05-29,27099464899744700-27167152296309294,2UVESR96E2,600000,2UVESR96E2,600000,68956.0,Coincide,Facturas Meta/Socovesa/mayo_2026/2026-05-29T07-04 Transacción n.º 27099464899744700-27167152296309294.pdf,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-05,Almagro Inmobiliaria,2026-05-01,26466751823010185-26583680997983925,3J4HENV5E2,600000,,,,Sin cartola,Facturas Meta/Almagro/mayo_2026/2026-05-01T12-04 Transacción n.º 26466751823010185-26583680997983925.pdf,
2026-05,Pilares,2026-05-28,27402031406150818-27286235647730393,3LUMMR56E2,600000,3LUMMR56E2,600000,68746.0,Coincide,Facturas Meta/Pilares/mayo_2026/2026-05-28T08-58 Transacción n.º 27402031406150818-27286235647730393.pdf,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-05,Socovesa,2026-05-04,26821097907581397-26906209002403624,48GTANV6E2,600000,,,,Sin cartola,Facturas Meta/Socovesa/mayo_2026/2026-05-04T19-39 Transacción n.º 26821097907581397-26906209002403624.pdf,
2026-05,Almagro Inmobiliaria,2026-05-22,26798625073156185-26855547410797281,4FWKYQ96E2,600000,4FWKYQ96E2,600000,68182.0,Coincide,Facturas Meta/Almagro/mayo_2026/2026-05-22T08-05 Transacción n.º 26798625073156185-26855547410797281.pdf,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-05,Almagro Inmobiliaria,2026-05-25,26839222549096436-26827927056892655,4H273RR6E2,600000,4H273RR6E2,600000,68334.0,Coincide,Facturas Meta/Almagro/mayo_2026/2026-05-25T17-35 Transacción n.º 26839222549096436-26827927056892655.pdf,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
2026-05,Socovesa,2026-05-30,27114515011573014-27281476991543486,4QYGQSD6E2,593047,4QYGQSD6E2,593047,68302.0,Coincide,Facturas Meta/Socovesa/mayo_2026/2026-05-30T00-48 Transacción n.º 27114515011573014-27281476991543486.pdf,Facturas Meta/Cartola TC/MovFacturadosInternacionales_94840000-6_9-6-2026.xls
