month,brand,paymentDate,cartolaDate,paymentReference,statementReference,transactionId,campaignName,legalEntity,comuna,project,pepCode,campaignAmount,allocatedProjectAmount,cartolaAmountOriginal,cartolaAmountUsd,chargeAmountValidation,matchStatus,referenceTotalAmount,sourceCartola
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOL_Antofagasta_AlmagroTerra,Sin asignar,Sin asignar,Sin asignar,,14280,14280,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOL_Antofagasta_Indico,Almagro S.A,Antofagasta,Indico,I-ALM-1453,4709,4709,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOL_Antofagasta_ParqueBrasil,Almagro S.A,Antofagasta,Parque Brasil,I-ALM-2285,7841,7841,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOL_Santiago_AlmagroDistrict,Madagascar,Las Condes,Almagro District,I-ALM-2399,4402,4402,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOL_Santiago_AlmagroHub,Arcilla Roja,Providencia,Almagro Hub,I-ALM-2189,5231,5231,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOL_Santiago_AlmagroPlus,Almagro S.A,Almagro Plus,Almagro Plus,I-ALM-2234,6686,6686,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOL_Santiago_Balance,Almagro S.A,Providencia,Balance,I-ALM-2358,7332,7332,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOL_Santiago_Carrera_IV,Almagro S.A,Santiago Centro,Carrera 4,I-ALM-2275,3877,3877,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOL_Santiago_Insigne,Almagro S.A,Macul,Insigne,I-ALM-2157,7620,7620,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOL_Santiago_LosCactus,Almagro S.A,Lo Barnechea,Los Cactus,I-ALM-2342,5430,5430,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOL_Santiago_LyonBilbao,Almagro S.A,Providencia,Lyon Bilbao,I-ALM-2211,3789,3789,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOL_Santiago_PadreLePaige,Arcilla Roja,Las Condes,PLP 1,I-ALM-2226,3916,3916,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOL_Santiago_PadreLePaige_Etapa2,Arcilla Roja,Las Condes,PLP 2,I-ALM-2306,6151,6151,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOL_Santiago_Rengo,Arcilla Roja,Providencia,Rengo,I-ALM-2288,7039,7039,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOL_Santiago_SanEugenio,Almagro S.A,Ñuñoa,San Eugenio 2,I-ALM-2227,6442,6442,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOT_Antofagasta_AlmagroTerra,Sin asignar,Sin asignar,Sin asignar,,46882,46882,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOT_Antofagasta_ParqueBrasil,Almagro S.A,Antofagasta,Parque Brasil,I-ALM-2285,29238,29238,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOT_Santiago_AlmagroPlus,Almagro S.A,Ñuñoa,Almagro Plus,I-ALM-2234,28249,28249,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOT_Santiago_Balance,Almagro S.A,Providencia,Balance,I-ALM-2358,29104,29104,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOT_Santiago_Insigne,Almagro S.A,Macul,Insigne,I-ALM-2157,27120,27120,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_AOT_Santiago_Rengo,Arcilla Roja,Providencia,Rengo,I-ALM-2288,29842,29842,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_Advantage_Almagro,Arcilla Roja,AON,Almagro Hub,I-ALM-2189,186700,23338,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_Advantage_Almagro,Almagro S.A,AON,Carrera 4,I-ALM-2275,186700,23338,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_Advantage_Almagro,Almagro S.A,AON,Indico,I-ALM-1453,186700,23338,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_Advantage_Almagro,Almagro S.A,AON,Los Cactus,I-ALM-2342,186700,23338,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_Advantage_Almagro,Almagro S.A,AON,Lyon Bilbao,I-ALM-2211,186700,23337,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_Advantage_Almagro,Arcilla Roja,AON,PLP 1,I-ALM-2226,186700,23337,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_Advantage_Almagro,Arcilla Roja,AON,PLP 2,I-ALM-2306,186700,23337,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_Advantage_Almagro,Almagro S.A,AON,San Eugenio 2,I-ALM-2227,186700,23337,,,No aplica,Sin cartola,,
2026-05,Almagro Inmobiliaria,2026-05-01,,3J4HENV5E2,,26466751823010185-26583680997983925,FB_Almagro_Awareness,Madagascar,Marca,Almagro District,I-ALM-2399,99982,7142,,,No aplica,Sin cartola,,
